%
% Comments go after a '%' sign.
%
%
% Relation: student_performance_prediction
%
%
% Attributes: 31     Instances: 395
%
%

@relation student_performance_prediction

@attribute 'school' {'gp','ms'}
@attribute 'sex' {'f','m'}
@attribute 'age' numeric
@attribute 'address' {'u','r'}
@attribute 'famsize' {'gt3','le3'}
@attribute 'Pstatus' {'a','t'}
@attribute 'Medu' numeric
@attribute 'Fedu' numeric
@attribute 'Mjob' {'at_home','health','other','services','teacher'}
@attribute 'Fjob' {'teacher','other','services','health','at_home'}
@attribute 'reason' {'course','other','home','reputation'}
@attribute 'guardian' {'mother','father','other'}
@attribute 'traveltime' numeric
@attribute 'studytime' numeric
@attribute 'failures' numeric
@attribute 'schoolsup' {'yes','no'}
@attribute 'famsup' {'no','yes'}
@attribute 'paid' {'no','yes'}
@attribute 'activities' {'no','yes'}
@attribute 'nursery' {'yes','no'}
@attribute 'higher' {'yes','no'}
@attribute 'internet' {'no','yes'}
@attribute 'romantic' {'no','yes'}
@attribute 'famrel' numeric
@attribute 'freetime' numeric
@attribute 'goout' numeric
@attribute 'Dalc' numeric
@attribute 'Walc' numeric
@attribute 'health' numeric
@attribute 'absences' numeric
@attribute 'passed' {'no','yes'}

@data
'gp','f',15,'u','gt3','t',4,4,'teacher','teacher','course','mother',2,1,0,'no','no','no','yes','yes','yes','yes','no',4,3,2,1,1,5,0,'yes'
'gp','m',15,'u','gt3','t',4,3,'teacher','services','course','father',2,4,0,'yes','yes','no','no','yes','yes','yes','no',2,2,2,1,1,3,0,'no'
'gp','m',16,'u','le3','t',2,2,'services','services','reputation','father',2,1,2,'no','yes','no','yes','yes','yes','yes','no',2,3,3,2,2,2,8,'no'
'gp','f',15,'u','gt3','t',4,4,'teacher','services','course','mother',1,3,0,'no','yes','yes','yes','yes','yes','yes','no',4,2,2,1,1,5,2,'yes'
'gp','f',16,'u','le3','t',1,1,'at_home','at_home','course','mother',1,1,0,'no','no','no','no','yes','yes','yes','no',3,4,4,3,3,1,2,'yes'
'gp','m',17,'u','gt3','t',2,1,'other','other','home','mother',1,1,3,'no','yes','no','no','yes','yes','yes','no',5,4,5,1,2,5,0,'no'
'gp','f',15,'u','gt3','t',1,1,'other','services','course','father',1,2,0,'no','yes','yes','no','yes','yes','yes','no',4,4,2,1,2,5,0,'yes'
'gp','f',15,'u','gt3','t',3,2,'health','services','home','father',1,2,3,'no','yes','no','no','yes','yes','yes','no',3,3,2,1,1,3,0,'no'
'gp','f',15,'u','gt3','t',1,2,'at_home','other','course','mother',1,2,0,'no','yes','yes','no','no','yes','yes','no',4,3,2,1,1,5,2,'yes'
'gp','m',16,'u','gt3','t',4,4,'teacher','teacher','course','mother',1,1,0,'no','yes','no','no','yes','no','yes','yes',3,3,2,2,1,5,0,'no'
'gp','m',15,'u','le3','a',2,1,'services','other','course','mother',4,1,3,'no','no','no','no','yes','yes','yes','no',4,5,5,2,5,5,0,'yes'
'gp','m',18,'u','le3','t',1,1,'other','other','course','mother',1,1,3,'no','no','no','no','yes','no','yes','yes',2,3,5,2,5,4,0,'no'
'gp','m',16,'u','le3','t',2,1,'at_home','other','course','mother',1,1,1,'no','no','no','yes','yes','yes','no','yes',4,4,4,3,5,5,6,'yes'
'gp','f',15,'r','gt3','t',3,3,'services','services','reputation','other',2,3,2,'no','yes','yes','yes','yes','yes','yes','yes',4,2,1,2,3,3,8,'yes'
'gp','m',19,'u','gt3','t',3,2,'services','at_home','home','mother',1,1,3,'no','yes','no','no','yes','no','yes','yes',4,5,4,1,1,4,0,'no'
'gp','f',17,'u','gt3','t',4,4,'other','teacher','course','mother',1,1,0,'yes','yes','no','no','yes','yes','no','yes',4,2,1,1,1,4,0,'yes'
'gp','m',15,'r','gt3','t',2,3,'at_home','services','course','mother',1,2,0,'yes','no','yes','yes','yes','yes','no','no',4,4,4,1,1,1,2,'no'
'gp','m',17,'r','le3','t',1,2,'other','other','reputation','mother',1,1,0,'no','no','no','no','yes','yes','no','no',2,2,2,3,3,5,8,'yes'
'gp','f',18,'r','gt3','t',1,1,'at_home','other','course','mother',3,1,3,'no','yes','no','yes','no','yes','no','no',5,2,5,1,5,4,6,'yes'
'gp','m',16,'r','gt3','t',2,2,'at_home','other','course','mother',3,1,0,'no','no','no','no','no','yes','no','no',4,2,2,1,2,3,2,'yes'
'gp','m',16,'u','gt3','t',3,3,'other','services','course','father',1,2,1,'no','yes','yes','no','yes','yes','yes','yes',4,5,5,4,4,5,4,'yes'
'gp','m',17,'r','le3','t',2,1,'at_home','other','course','mother',2,1,2,'no','no','no','yes','yes','no','yes','yes',3,3,2,2,2,5,0,'no'
'gp','m',15,'r','gt3','t',3,2,'other','other','course','mother',2,2,2,'yes','yes','no','no','yes','yes','yes','yes',4,4,4,1,4,3,6,'no'
'gp','m',16,'u','le3','t',1,2,'other','other','course','mother',2,1,1,'no','no','no','yes','yes','yes','no','no',4,4,4,2,4,5,0,'no'
